,日期,AQI
991,2020-09-20,35.498
992,2020-09-21,58.723
993,2020-09-22,46.194
994,2020-09-23,47.519
995,2020-09-24,41.857
996,2020-09-25,49.76
997,2020-09-26,69.479
998,2020-09-27,80.328
999,2020-09-28,97.106
1000,2020-09-29,22.741
1001,2020-09-30,31.534
1002,2020-10-01,58.53
1003,2020-10-02,24.867
1004,2020-10-03,42.948
1005,2020-10-04,23.291
1006,2020-10-05,24.823
1007,2020-10-06,49.173
1008,2020-10-07,83.672
1009,2020-10-08,111.049
1010,2020-10-09,138.502
1011,2020-10-10,168.536
1012,2020-10-11,69.66
1013,2020-10-12,32.305
1014,2020-10-13,39.323
1015,2020-10-14,36.328
1016,2020-10-15,75.645
1017,2020-10-16,41.234
1018,2020-10-17,44.745
1019,2020-10-18,60.073
1020,2020-10-19,78.5
1021,2020-10-20,150.198
1022,2020-10-21,117.423
1023,2020-10-22,52.806
1024,2020-10-23,34.226
1025,2020-10-24,58.661
1026,2020-10-25,110.144
1027,2020-10-26,125.294
1028,2020-10-27,47.112
1029,2020-10-28,50.996
1030,2020-10-29,66.974
1031,2020-10-30,75.664
1032,2020-10-31,157.451
1033,2020-11-01,65.056
1034,2020-11-02,41.949
1035,2020-11-03,39.848
1036,2020-11-04,73.064
1037,2020-11-05,121.063
1038,2020-11-06,124.607
1039,2020-11-07,93.314
1040,2020-11-08,40.705
1041,2020-11-09,51.602
1042,2020-11-10,69.884
1043,2020-11-11,143.193
1044,2020-11-12,135.548
1045,2020-11-13,51.169
1046,2020-11-14,70.349
1047,2020-11-15,107.422
1048,2020-11-16,131.105
1049,2020-11-17,128.529
1050,2020-11-18,60.744
1051,2020-11-19,18.128
1052,2020-11-20,26.007
1053,2020-11-21,44.904
1054,2020-11-22,19.205
1055,2020-11-23,31.472
1056,2020-11-24,53.309
1057,2020-11-25,50.914
1058,2020-11-26,44.555
1059,2020-11-27,32.53
1060,2020-11-28,28.851
1061,2020-11-29,39.776
1062,2020-11-30,34.781
1063,2020-12-01,47.733
1064,2020-12-02,43.7
1065,2020-12-03,24.705
1066,2020-12-04,25.027
1067,2020-12-05,42.876
1068,2020-12-06,61.387
1069,2020-12-07,28.703
1070,2020-12-08,41.622
1071,2020-12-09,76.955
1072,2020-12-10,83.98
1073,2020-12-11,59.772
1074,2020-12-12,104.188
1075,2020-12-13,29.312
1076,2020-12-14,30.824
1077,2020-12-15,40.265
1078,2020-12-16,43.003
1079,2020-12-17,65.381
1080,2020-12-18,32.031
1081,2020-12-19,52.326
1082,2020-12-20,48.248
1083,2020-12-21,65.141
1084,2020-12-22,86.543
1085,2020-12-23,96.031
1086,2020-12-24,55.589
1087,2020-12-25,68.177
1088,2020-12-26,79.614
1089,2020-12-27,93.52
1090,2020-12-28,90.995
1091,2020-12-29,49.987
1092,2020-12-30,32.642
1093,2020-12-31,39.122
1094,2021-01-01,59.214
1095,2021-01-02,73.508
1096,2021-01-03,36.673
1097,2021-01-04,41.51
1098,2021-01-05,32.999
1099,2021-01-06,66.763
1100,2021-01-07,31.314
1101,2021-01-08,31.584
1102,2021-01-09,38.181
1103,2021-01-10,27.746
1104,2021-01-11,54.891
1105,2021-01-12,103.391
1106,2021-01-13,161.047
1107,2021-01-14,82.923
1108,2021-01-15,103.804
1109,2021-01-16,32.255
1110,2021-01-17,49.943
1111,2021-01-18,59.556
1112,2021-01-23,118.6
1113,2021-01-24,138.206
1114,2021-01-25,176.838
1115,2021-01-26,118.059
1116,2021-01-27,58.538
1117,2021-01-28,44.867
1118,2021-01-29,50.556
1119,2021-01-30,69.867
1120,2021-01-31,87.216
1121,2021-02-01,53.72
1122,2021-02-02,36.264
